stdDay,defCnt,deathCnt
2020년 12월 04일 00시,36332,536
2020년 12월 05일 00시,36915,
2020년 12월 06일 00시,37546,545
2020년 12월 07일 00시,38161,549
2020년 12월 08일 00시,,552
2020년 12월 09일 00시,39432,556
2020년 12월 10일 00시,40098,564
2020년 12월 11일 00시,40786,572
2020년 12월 12일 00시,41736,578
2020년 12월 13일 00시,42766,580
2020년 12월 14일 00시,43484,587
2020년 12월 15일 00시,44364,600
2020년 12월 16일 00시,45442,612
2020년 12월 17일 00시,10423,634
2020년 12월 17일 00시,46453,634
2020년 12월 18일 00시,47515,645
2020년 12월 19일 00시,48570,659
2020년 12월 19일 00시,48570,659
2020년 12월 20일 00시,49665,674
2020년 12월 21일 00시,50591,698
2020년 12월 22일 00시,51460,722
2020년 12월 22일 00시,51460,722
2020년 12월 23일 00시,52550,722
2020년 12월 23일 00시,52550,739
2020년 12월 24일 00시,53533,739
2020년 12월 24일 00시,53533,756
2020년 12월 25일 00시,54770,773
2020년 12월 26일 00시,55902,793
2020년 12월 27일 00시,56872,808
2020년 12월 28일 00시,57680,819
2020년 12월 29일 00시,60000,859
2020년 12월 29일 00시,58725,859
2020년 12월 30일 00시,59773,879
2020년 12월 31일 00시,60740,900
2021년 01월 01일 00시,61769,917
2021년 01월 02일 00시,62593,942
2021년 01월 03일 00시,63244,962
2021년 01월 04일 00시,64264,981
2021년 01월 05일 00시,64979,1007
2021년 01월 05일 00시,64979,1007
2021년 01월 06일 00시,65818,1027
2021년 01월 07일 00시,66686,1046
2021년 01월 08일 00시,67358,1081
2021년 01월 09일 00시,67999,1100
2021년 01월 10일 00시,68664,1125
2021년 01월 11일 00시,69114,1140
2021년 01월 12일 00시,69651,1165
2021년 01월 13일 00시,70212,1185
2021년 01월 14일 00시,70728,1195
2021년 01월 15일 00시,71241,1217
2021년 01월 16일 00시,71820,1236
2021년 01월 17일 00시,72340,1249
2021년 01월 18일 00시,72729,1264
2021년 01월 19일 00시,73115,1283
2021년 01월 20일 00시,73518,1300
2021년 01월 21일 00시,73918,1316
2021년 01월 22일 00시,74262,1328
2021년 01월 23일 00시,74692,1337
2021년 01월 24일 00시,75084,1349
2021년 01월 25일 00시,75521,1360
